GAME_ID,team,against,s_minutes,s_FGM,s_FGA,s_3PM,s_3PA,s_FTM,s_FTA,s_OREB,s_DREB,s_AST,s_STL,s_BLK,s_TO,s_FOUL,b_FGM,b_FGA,b_3PM,b_3PA,b_FTM,b_FTA,b_OREB,b_DREB,b_AST,b_STL,b_BLK,b_TO,b_FOUL,home_away,PTS_ht,PTS_ht_opp,PTS_final
22300424,UTA,NOP,67.88333333333334,14,28,3,11,3,5,5,9,4,1,1,2,5,6,16,2,6,3,3,2,5,9,2,0,8,2,away,51,59,105
22300425,DEN,MEM,80.78333333333333,20,32,9,16,2,2,2,15,14,1,3,4,2,5,14,2,7,2,4,4,6,6,4,2,3,4,home,65,48,142
22300425,MEM,DEN,78.0,15,35,6,13,2,2,3,12,7,3,1,5,6,4,11,2,7,0,0,1,4,4,2,1,3,2,away,48,65,105
22300426,MIA,GSW,76.91666666666667,14,31,3,8,4,6,2,9,7,2,0,0,5,8,17,2,6,5,5,2,8,7,3,1,0,5,away,58,51,114
22300426,GSW,MIA,62.766666666666666,9,22,5,13,5,7,3,7,11,0,2,6,3,8,17,1,5,6,7,1,12,6,0,4,3,6,home,51,58,102
22300427,SAS,POR,64.45,14,25,3,11,10,11,0,13,10,4,6,5,6,5,13,2,9,6,6,1,7,4,1,0,3,4,away,59,45,118
22300427,POR,SAS,79.33333333333333,12,41,2,10,8,10,11,10,4,1,0,7,12,4,14,1,9,2,4,3,7,0,4,1,1,3,home,45,59,105
22300428,CHA,LAL,81.06666666666666,14,31,7,14,7,9,5,14,10,4,3,6,3,6,14,1,5,2,5,1,8,5,0,0,4,1,away,57,58,112
22300428,LAL,CHA,76.1,14,36,2,10,3,3,3,12,11,5,4,4,3,9,14,7,11,0,0,0,6,8,0,2,1,6,home,58,57,133
22300429,NYK,ORL,79.88333333333334,14,36,0,10,9,11,3,10,9,6,1,8,6,3,7,1,4,0,0,0,6,0,1,0,2,4,away,44,55,108
22300429,ORL,NYK,80.33333333333333,19,30,3,4,6,8,5,12,8,4,2,10,9,3,13,0,9,2,2,1,6,6,2,1,2,1,home,55,44,117
22300430,WAS,BKN,75.7,14,29,4,9,2,4,2,15,10,1,1,3,6,8,16,4,11,0,0,2,4,6,2,1,1,2,home,54,53,110
22300430,BKN,WAS,75.51666666666667,10,25,3,11,5,9,3,12,7,3,1,1,3,11,18,1,4,2,4,3,6,6,1,0,4,3,away,53,54,104
