GAME_ID,home_team,away_team,hs_minutes,hs_FGM,hs_FGA,hs_3PM,hs_3PA,hs_FTM,hs_FTA,hs_OREB,hs_DREB,hs_AST,hs_STL,hs_BLK,hs_TO,hs_FOUL,ht_minutes,ht_FGM,ht_FGA,ht_3PM,ht_3PA,ht_FTM,ht_FTA,ht_OREB,ht_DREB,ht_AST,ht_STL,ht_BLK,ht_TO,ht_FOUL,as_minutes,as_FGM,as_FGA,as_3PM,as_3PA,as_FTM,as_FTA,as_OREB,as_DREB,as_AST,as_STL,as_BLK,as_TO,as_FOUL,at_minutes,at_FGM,at_FGA,at_3PM,at_3PA,at_FTM,at_FTA,at_OREB,at_DREB,at_AST,at_STL,at_BLK,at_TO,at_FOUL
22301068,MIA,POR,69:13:00,16,27,6,11,7,9,0,12,17,7,1,4,3,120:00:00,28,45,10,19,8,11,1,20,24,9,3,4,6,89:48:00,15,31,1,8,2,3,4,10,7,2,1,8,6,120:00:00,18,45,1,15,3,4,4,17,9,2,1,10,8
22301071,DEN,MIN,87:25:00,14,33,5,11,6,9,4,11,12,0,0,3,3,120:00:00,16,41,5,15,6,9,4,17,14,0,0,4,7,81:55:00,20,36,2,12,6,9,3,12,11,2,1,0,4,120:00:00,25,44,5,16,7,11,4,18,19,2,2,0,5
22301070,SAS,NYK,71:33:00,15,26,6,12,4,4,1,11,15,1,1,2,3,120:00:00,25,42,10,20,14,16,3,17,23,1,1,3,6,81:04:00,17,35,4,11,3,3,1,5,12,0,0,4,6,120:00:00,25,49,4,13,3,3,4,15,13,1,1,5,11
22301069,OKC,PHX,66:09:00,15,27,2,4,6,6,1,5,9,3,1,2,0,120:00:00,28,45,8,11,6,6,1,10,19,3,2,2,6,84:38:00,21,38,5,13,6,7,5,9,11,0,2,6,5,120:00:00,23,43,7,18,6,7,8,12,16,1,4,7,7
22301063,IND,LAL,80:37:00,12,30,3,11,4,5,1,12,9,3,2,5,4,120:00:00,22,45,6,16,4,5,1,17,13,4,2,7,7,89:31:00,18,39,1,9,4,4,5,18,15,2,0,8,4,120:00:00,21,46,2,13,5,6,6,21,17,3,1,10,7
22301071,DEN,MIN,87:25:00,14,33,5,11,6,9,4,11,12,0,0,3,3,120:00:00,16,41,5,15,6,9,4,17,14,0,0,4,7,81:55:00,20,36,2,12,6,9,3,12,11,2,1,0,4,120:00:00,25,44,5,16,7,11,4,18,19,2,2,0,5
22301073,SAC,DAL,93:54:00,22,43,8,15,2,4,4,17,13,5,1,2,7,120:00:00,25,53,8,17,2,5,6,20,13,5,1,2,9,71:36:00,13,29,4,13,7,11,0,12,8,1,3,6,3,120:00:00,18,38,5,17,10,15,3,20,13,1,4,6,6
22301070,SAS,NYK,71:33:00,15,26,6,12,4,4,1,11,15,1,1,2,3,120:00:00,25,42,10,20,14,16,3,17,23,1,1,3,6,81:04:00,17,35,4,11,3,3,1,5,12,0,0,4,6,120:00:00,25,49,4,13,3,3,4,15,13,1,1,5,11
22301066,BKN,CHI,87:57:00,12,37,5,15,5,11,7,13,6,2,0,5,5,120:00:00,17,46,7,20,6,12,9,16,8,3,0,6,13,84:37:00,11,26,2,11,10,14,0,14,9,1,1,6,5,120:00:00,17,36,3,15,15,20,3,22,10,3,2,6,8
22301062,CHA,GSW,87:07:00,10,25,3,12,3,3,3,9,9,1,2,4,1,120:00:00,15,39,7,22,8,11,5,16,11,2,2,6,3,79:21:00,13,26,5,12,1,2,3,13,12,2,2,7,5,120:00:00,20,42,7,20,3,4,6,19,17,3,3,7,8
